iteration|level|ip_address|response_time|country|region|city|longitude|latitude|isp|org
15|15|209.85.253.1|28.091 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
15|16|209.85.143.193|20.413 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
15|17|209.85.243.254|26.591 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
15|18|74.125.196.102|23.640 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
16|1|192.168.0.1|24.469 ms|||||||
16|2|174.111.102.226|34.576 ms|United States|NC|High Point|-80.0053|35.9557|Time Warner Cable|Time Warner Cable
16|3|24.25.62.50|18.215 ms|United States|NY|New York|-73.9597|40.7903|Time Warner Cable|Time Warner Cable
16|4|24.93.64.186|16.756 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
16|5|24.93.67.202|19.118 ms|United States|NC|Charlotte|-80.8439|35.2277|Time Warner Cable|Time Warner Cable
16|6|24.93.64.186|24.709 ms|United States|NC|Charlotte|-80.8431|35.2271|Time Warner Cable|Time Warner Cable
16|7|66.109.6.82|26.996 ms|United States|GA|Forest Park|-84.3691|33.6221|Time Warner Cable|Time Warner Cable
16|8|205.197.180.41|33.482 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
16|9|205.197.180.54|26.186 ms|United States|IL|Chicago|-87.6441|41.8825|XO Communications|XO Communications
16|10|216.239.51.53|26.530 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
16|11|216.239.51.47|28.623 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
16|12|209.85.247.150|26.339 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
16|13|216.239.51.243|23.165 ms|United States|LA|Sulphur|-93.4063|30.2585|Google|Google
16|14|209.85.244.218|25.734 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
16|15|209.85.253.1|18.858 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
16|16|209.85.143.193|27.206 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
16|17|209.85.243.254|23.028 ms|United States|CA|Mountain View|-122.085|37.4229|Google|Google
16|18|74.125.196.102|26.690 ms|United States|CA|Mountain View|-122.0574|37.4192|Google|Google
17|1|192.168.0.1|37.530 ms|||||||
